USER_ID,ISBN,RATING
624,0671028375,7
624,0802130208,0
929,0446612545,7
1162,3404143744,0
1162,3423202327,0
286,0060549270,0
286,0312966091,0
286,0312966970,0
286,0312971346,0
286,0312976275,0
286,0312980140,7
286,0312983298,3
286,0312983867,7
286,0312990456,5
286,0312991460,6
286,0345348176,8
286,0345350499,10
286,0380817152,0
286,0425175405,0
286,0425191583,8
286,0441478123,10
286,0449003183,8
286,0449221512,8
286,0451202503,10
286,048627263X,0
286,0515136557,8
286,0671001795,8
286,0743480562,6
286,1400034779,10
288,0380728273,0
288,0440224624,3
288,0446606812,5
288,0812570944,0
40,0767902890,8
57,0060987561,10
57,0140244824,7
57,014028009X,2
57,0142000205,7
57,0316096199,8
57,0316666343,9
57,0316899984,7
57,0345439104,0
57,0375502238,0
57,0375702709,0
57,0375703063,7
57,0380730138,0
57,0385474016,0
57,0385729340,0
57,0385730586,0
57,0440224624,0
57,0440226430,9
57,0440514428,9
57,0446610399,0
57,0446672211,0
57,0446679593,8
57,0449907481,6
57,0451163524,5
57,0452282829,0
57,0515123536,6
57,0515131083,10
57,0517580497,0
57,0525945210,0
57,0553250426,0
57,0553260960,0
57,0553570870,8
57,0671038184,8
57,0671553046,0
57,0679425268,9
57,0679439382,0
57,0679746048,0
57,0688170528,8
57,0743225082,7
57,1558745157,0
57,1882723007,8
417,0765342294,9
417,155166884X,0
406,3442413338,0
136,0060959037,8
9,0446606812,6
1091,0061097314,4
1091,0425192695,0
1091,0440223202,10
1091,044023574X,7
1104,0671679473,0
1104,0679731148,7
649,0375704965,7
986,0440241073,10
194,0425145638,0
194,0446607657,4
194,0553580388,0
844,0679735909,8
790,0440235146,0
790,0786867647,8
49,0446609404,8
264,0385492081,1
475,0399147772,7
200,0553574078,6
55,0812502124,0
55,0812550706,0
55,0812550757,0
552,0140270590,7
552,0380731851,8
552,0553578316,3
520,0425172546,0
520,0515130044,0
197,3442421357,8
772,0743211383,0
1157,0860680649,5
51,0451519841,0
580,0316284955,7
580,0345460359,0
580,0786868015,7
59,0385511612,0
986,0671014196,8
782,155874262X,10
782,1558745718,10
782,1558747109,10
816,0312983867,8
867,0060173289,9
867,0060517794,7
867,0060976845,0
867,014028009X,8
867,0142000205,9
867,0316601950,0
867,0316789089,0
867,0399146431,9
867,0425167313,0
867,0440211263,7
867,0553274503,8
867,059035342X,8
867,0670879835,0
867,0671789422,0
867,0679412956,8
867,0684874350,0
867,0767902890,9
867,0786881852,8
867,0804106304,0
867,1562470043,0
867,1573221775,0
436,0345387651,6
198,0060809833,8
411,0553211439,0
411,0894803700,5
411,1558531025,8
989,0316184152,7
989,0375703063,7
989,042516098X,7
989,0553579606,8
434,0002005018,5
434,0060973129,0
434,1552041778,5
434,1558746218,0
434,1567407781,6
434,1575663937,6
434,1881320189,7
656,0440234743,0
656,0452264464,6
656,0609804618,0
549,1841721522,0
3,1879384493,10
127,0971880107,0
1074,0345402871,9
1074,0345417623,0
469,0553278398,0
469,0684823802,0
955,0375759778,7
693,3404921038,7
693,3442353866,0
693,3442410665,0
693,3442446937,0
4,0375406328,0
696,0446310786,10
696,0449005615,9
1048,0671888587,7
348,0425182908,0
348,042518630X,0
348,0842342702,0
81,0440225701,9
698,0380715899,9
698,0961769947,0
698,0964778319,0
482,0671623249,7
125,2070423204,7
1009,042511774X,0
1009,0804106304,0
10,1853262404,0
989,1853260053,8
419,1414035004,10
388,0140067477,0
388,0345465083,0
388,1558531025,5
12,0441783589,0
171,0394895894,8
141,1569871213,0
13,0375410538,5
14,0966986105,10
18,0316769487,9
1157,8445071408,7
1157,8445071769,8
1157,8445071777,10
19,0679429220,0
20,0671867156,7
149,0312261594,8
149,0316748641,7
149,0446677450,10
149,0451166892,3
149,067976397X,0
149,0786868716,0
21,8472238822,7
974,0446608653,9
974,0446612545,9
974,0553584383,9
974,0671027360,10
342,0316735736,7
925,0743439740,0
704,0842314296,0
704,0842321942,0
704,0842329277,0
704,0871135809,0
704,0886774632,0
704,0886775981,5
704,0891073906,0
704,0893754005,0
704,0920236162,0
704,0964631601,0
704,1551668122,0
704,155166884X,0
704,1559029838,0
704,1559029897,0
704,1561561428,0
704,1562470043,0
704,1567311199,0
704,1569873291,0
704,1584850167,0
704,1853260053,0
704,1853260061,0
354,0060935464,9
354,0385475721,8
354,0671027360,6
199,0446608262,0
179,0884046818,0
896,8806143042,0
129,0743418190,6
869,0843949090,10
44,0316569321,7
44,0446679593,6
44,0743237188,7
53,0743206053,0
614,0316158720,7
285,0425167720,5
506,1400034779,0
660,0385490992,0
660,059050214X,0
660,0590926675,0
660,1576737330,0
278,0971880107,0
234,0312955006,7
234,0425137937,7
234,0515136565,0
234,0553275852,0
234,0743225406,5
837,0394820371,10
837,0446518581,8
579,0375412530,0
326,0375726403,0
326,0380710218,0
326,0380717018,0
326,0380718332,0
326,0380730847,0
326,042511774X,0
326,0425168298,0
326,0425175405,0
326,0425182878,9
326,044022103X,0
326,0440221099,0
326,0440221595,7
326,0446360589,0
326,0446605484,10
326,0446610038,10
326,0446611212,9
326,0449219364,0
326,0553213180,6
326,0553269216,8
326,0553295233,0
326,0553581554,0
649,0553277472,0
148,0142001740,9
148,1931561648,10
522,0446605409,0
1096,0446605239,5
1096,0553096834,7
1096,0688149790,0
1012,0440200989,9
1012,0553582135,0
1012,0671867172,0
413,0345339703,10
845,0425129586,6
845,0590660543,5
58,0345388879,6
58,0553573616,9
58,0671021001,7
58,0671510053,8
210,0140293450,8
210,0330375253,8
210,0385730586,9
210,0446611867,0
525,2070334368,7
525,2070362388,0
525,2070384349,10
525,2070417743,9
525,207053880X,10
525,2253004022,9
525,2253005274,0
525,225300670X,0
525,2253007102,10
525,2266029460,10
525,2266033689,9
525,2266084372,8
525,229000510X,0
525,2290314951,0
1191,0905762487,0
1191,0971880107,0
1191,3453188519,0
1191,3492207006,10
1191,3499177757,0
1191,3499179806,0
1191,3499222604,0
1191,3502670005,0
1191,3596237262,0
1191,3746670055,0
1191,3889774016,0
1098,3442724686,5
1098,3596144434,4
235,0060191929,9
235,0140107649,10
235,0316603287,9
235,0316666343,10
235,0316693006,10
235,0316693200,9
235,0316769487,10
235,0316776963,10
235,0316779423,10
235,0316779490,9
235,0316789089,10
235,0316969443,10
235,0345339711,10
235,0345452550,0
235,0374172897,0
235,0385420161,9
235,0385504209,10
235,0385505833,10
235,039304016X,0
235,0394574745,8
235,039914739X,0
235,0446520802,0
235,0446523569,10
235,0446525502,9
235,0446525537,9
235,0446527793,10
235,0446531332,10
235,0553109839,0
235,0670892963,7
235,0671042556,9
235,0679442790,10
235,0679450440,0
235,0679732241,9
235,0679746048,7
235,0684868911,0
235,0684874318,10
235,0688180639,9
235,0743206045,0
235,0743230051,9
235,080411868X,0
235,1558747028,10
235,1558747346,8
235,1570717257,9
1142,0349101779,0
1142,0671894455,7
1142,0743222229,8
1142,0947782141,0
1142,1405200677,8
1142,1841950521,9
1142,1841952931,8
1142,1842040154,0
1142,1842151053,0
1142,1853260002,2
1142,185479549X,8
1142,1854795554,9
1142,1858813093,7
1142,1860198597,0
1142,2020315491,8
1142,2070322068,8
1142,2070375609,0
1142,2070375722,0
1142,2070393577,8
1142,2253000868,8
1142,2253001457,8
1142,2253002895,7
1142,2253006866,8
1142,2253037796,7
1142,2253043974,8
1142,2253049417,9
1142,2253051381,7
1142,2253063339,10
1142,2253140872,8
1142,2253148539,8
1142,2253170127,7
1142,2253170372,8
1142,2253170569,8
1142,2264009306,0
1142,2266002996,0
1142,2857043821,6
1142,2871290911,6
1142,2876916193,7
1142,2909051196,7
58,0449006522,0
1186,0060934719,8
1186,0316776963,0
1186,0345403339,7
1186,0425142485,6
1186,0446300101,8
1186,0451181379,0
1186,0679801146,4
1186,0786886463,7
1186,0962893862,4
1186,1555834531,0
1186,1555835953,0
1186,156341029X,8
1186,1563410443,0
1186,1563411148,6
1186,1563899388,6
1186,1886383421,4
1186,1888451084,7
419,038529929X,6
40,0743211383,10
844,0451205421,7
844,0812521331,7
844,1884777805,8
770,0440218535,0
176,8806142267,7
795,0064405052,9
795,0064409457,6
795,015216250X,10
795,0152162577,10
795,0316666343,3
849,0375724575,0
849,0380754843,0
849,0439404371,8
849,0440154731,0
849,0440211727,0
849,0440224624,6
849,0445202718,0
849,0451169530,6
849,0553052268,0
849,055321313X,0
849,0553234811,6
849,0553250426,0
849,0553296981,10
849,0590457225,0
849,0671461494,8
849,0671617028,8
849,0671868691,0
849,0836217632,0
849,0894803700,8
849,0939766027,5
849,1573225789,0
849,1895383129,7
690,0385335482,9
690,0385335881,0
485,0373484070,0
1,0805063889,9
841,0971880107,0
174,0373218400,0
174,0553582658,0
392,039914739X,0
392,0679419152,0
392,1569471800,0
1075,0140259198,0
1075,0826308791,0
199,8850200005,0
85,0451202503,5
424,0451181468,9
424,0671028375,10
353,0671759361,0
155,3442720001,0
750,0060930535,10
750,1570362084,10
418,0375702709,10
418,044990928X,8
375,0060916508,7
375,0671038184,5
359,0060928336,5
359,0142000663,10
359,0330262130,0
359,0330267388,0
359,0330306839,8
359,0345361792,0
359,0380012863,8
359,0394404289,9
359,0552996009,9
359,0552998001,9
359,0590112899,0
359,0590542443,0
359,0590660543,0
359,0679730346,0
359,068484267X,9
359,0743225082,8
359,0963270702,0
359,0971880107,0
239,0345458915,7
239,0671027360,7
474,006092988X,8
474,038531258X,10
474,0446310786,10
526,0553256696,9
938,1400034779,8
689,038533303X,6
449,0786885688,8
625,0671721038,6
625,0671880187,5
625,1558506454,8
92,037570504X,0
433,0142001740,10
433,0316666343,7
433,0375726403,7
433,0385504209,7
433,0553377868,9
433,0609608444,10
433,0767902521,9
433,0892967048,8
433,1400034779,5
112,014131088X,10
112,0451526503,6
112,080410753X,7
386,096478260X,0
386,155643068X,0
386,155643152X,0
793,0743221990,0
657,3478088534,5
657,3821807059,0
418,1566197155,7
1139,031227999X,7
835,0684801221,0
394,0316666343,0
394,0385510438,8
439,0380723638,0
439,0385324057,9
439,0671021001,0
439,9505470010,0
1092,0061030651,8
1092,006109594X,7
1092,0425178773,0
1092,0425185710,6
1092,0553575619,5
887,0399144463,8
887,0671527215,9
623,0671522817,7
623,2894850743,0
659,0064407667,4
659,014025448X,7
659,0385472951,6
659,0385493800,6
659,0618045996,0
659,0671318314,7
659,1400034779,0
659,1400062888,3
659,1558612815,9
659,1931520038,10
877,0060932759,0
877,0060934417,8
877,0060976845,7
877,0061098361,7
877,0070212570,7
877,0140256369,0
877,0156006529,0
795,0345391802,7
795,0440219078,10
795,0590897985,9
795,1562477528,9
374,185424597X,0
374,2080105434,0
205,0345356578,0
205,3257201761,6
205,3404118960,5
205,3404121686,0
205,349913358X,6
395,0753804700,10
450,0451155750,7
1102,0345428544,0
986,0373250339,5
986,0380820447,10
986,0451454243,10
1132,0380002450,0
1132,0385493800,0
1132,0425134350,0
1132,0425161722,0
1132,0440211727,0
1132,0941423042,0
1132,1928791107,0
432,0345404777,0
432,0380759497,0
432,038533334X,4
432,0440130913,0
432,0440222818,7
432,0440224675,0
432,0440224829,9
432,0440225701,0
432,0449001954,8
432,0451185277,8
432,0451204050,0
432,0515134368,9
432,0671742566,0
172,3442098424,0
781,1558505377,9
798,0020437501,0
798,0060085444,0
798,0064472779,0
798,0198320264,10
798,0312422156,0
798,0312971346,0
798,0345384350,0
798,0380723638,0
798,0399143165,0
798,0425124347,0
798,0425147517,0
798,0425155404,0
798,044022165X,0
798,0446364762,0
798,0451524489,10
798,0451526503,10
798,0515118656,0
798,0553255371,0
798,0553561618,0
798,068983571X,0
798,0743201078,0
798,0765341972,0
798,0812504208,0
798,1551668785,0
633,0312282990,0
1119,0345348036,0
1119,0375821813,8
1119,0394820371,8
1119,0449134482,0
38,1585007366,10
413,034538184X,8
870,0140620109,9
870,0140620125,10
83,0553211412,8
83,0671510053,10
83,0805062971,10
700,0945397410,10
328,0345347536,10
5,055321313X,8
890,0060529709,7
890,0140274154,9
890,0375704027,8
890,0679743464,0
890,3473540420,9
1058,0451527038,0
1058,0590484672,0
1058,1590520777,0
586,0975311255,10
118,0553584510,6
118,0553586122,3
536,0440216842,0
536,1551662744,0
515,0060256672,10
515,0060928336,7
515,0140042393,0
515,0140070206,9
515,0140077022,10
515,014016930X,10
515,0140253602,4
515,0156001942,0
515,0156027321,9
515,0312195516,0
515,0312420145,0
515,0316777730,7
515,0345418018,0
515,0375401318,0
515,0375501851,8
515,038001503X,10
515,0394800133,0
515,039592720X,9
515,0440215625,8
515,0452282152,8
515,0553268449,8
515,0553273604,0
515,0553273914,0
515,0671003755,8
515,0671789422,0
515,0679732764,10
515,0684801469,0
515,0805019367,0
515,0877733759,10
515,0911104542,10
515,1566193966,8
515,158574218X,0
515,1859671500,0
515,9997522052,0
100,1590520653,0
100,1590521994,0
378,3446202218,0
378,3499134446,8
649,0345384466,5
649,0345422392,0
649,0446364193,7
649,0446601241,0
649,0446604801,0
649,0451124340,5
649,0671726889,5
399,0679734775,5
563,0345409469,10
776,0141001771,5
776,0373250177,2
776,0449005569,3
776,0451523369,0
776,0671027344,7
776,0786884622,3
776,0965975401,5
776,1558747346,5
1138,006019491X,8
1138,0375420673,0
1138,0449005615,0
1138,0684819066,8
891,0671578103,6
891,3423009152,3
891,3423620005,9
891,3426871874,0
891,3453147243,5
891,3453171977,10
891,3453177800,5
891,3492229336,8
891,3596133319,6
891,3746611229,3
891,3822813397,0
1152,0140042520,8
1152,0345375211,9
1152,0380789035,0
183,0345370775,0
183,0440206154,0
183,0441317502,0
183,0812551389,0
183,1558171398,0
423,0915950839,0
221,0020418809,10
221,0060502258,0
221,0060915544,0
221,0060971819,0
221,0064401847,10
221,0070212570,0
221,0140017151,0
221,0140150706,0
221,0312169787,0
221,0312195516,0
221,0312274920,0
221,0312950586,0
221,0345334930,8
221,0345416260,0
221,0373218400,5
221,0373484410,0
221,0375707972,0
221,0375724370,0
221,0380018179,10
221,0380599236,0
221,0380789019,0
221,0385491085,0
221,0385492081,0
221,0385504209,10
221,0394557433,10
221,0425179672,10
221,0440221595,0
221,044022425X,0
221,0440226430,0
221,0440235162,10
221,0440514428,0
221,0446344109,9
221,0446605239,0
221,0446606812,0
221,0446610399,0
221,0446611867,0
221,0449212602,0
221,051509465X,9
221,0515130389,0
221,0515134368,6
221,0515135062,6
221,0517556278,8
221,0517580497,0
221,0553205587,9
221,0553205757,0
221,0553250426,10
221,0553250531,0
221,0553258001,0
221,0553258656,10
221,0553272586,5
221,0553278223,0
221,0553280589,10
221,0553569058,0
221,0553571656,0
221,0553572997,10
221,0553801945,0
221,0618260307,10
221,0670869902,0
221,067101420X,4
221,0671644475,0
221,0671708635,0
221,0679429220,9
221,0679457313,0
221,067976402X,10
221,0684874350,0
221,0786866276,0
221,0804114986,0
221,0942257324,0
221,096444724X,0
221,1571740252,0
221,1904301088,0
221,8423995801,10
46,0140266771,7
155,0380002450,9
155,0804106304,5
605,0140620338,8
1084,0971880107,2
1084,3257061269,9
1084,3404126661,0
1084,3453088433,4
1084,3453177622,0
1084,3453199766,8
